baixo,name,latitude,longitude,types,price level,rating,total ratings
Baixo Gávea,Rio de Janeiro,-22.9068467,-43.1728965,"['locality', 'political']",none,none,none
Baixo Gávea,Gavea quarto casal 1,-22.9743664,-43.2288747,"['lodging', 'point_of_interest', 'establishment']",none,none,none
Baixo Gávea,Jockey Club Brasileiro,-22.9737684,-43.22489059999999,"['point_of_interest', 'establishment']",none,4.6,6318
Baixo Gávea,Nossa Senhora da Conceição,-22.9755556,-43.2272222,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",none,4.8,130
Baixo Gávea,Bacalhau do Rei,-22.975188,-43.226976,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.4,474
Baixo Gávea,TRE-RJ - Cartório da 211ª Zona Eleitoral,-22.972125,-43.2244001,"['local_government_office', 'point_of_interest', 'establishment']",none,3.8,33
Baixo Gávea,Mistral Rio de Janeiro,-22.9731593,-43.226699,"['point_of_interest', 'establishment']",none,4.1,7
Baixo Gávea,La Pastasciutta,-22.9749075,-43.2287664,"['restaurant', 'food', 'point_of_interest', 'establishment']",none,4.5,154
Baixo Gávea,BALLET DALAL ACHCAR,-22.9741419,-43.2280232,"['point_of_interest', 'establishment']",none,4.6,14
Baixo Gávea,Soraia Cals Escritório de Arte,-22.9751346,-43.22755189999999,"['art_gallery', 'point_of_interest', 'establishment']",none,4.8,13
Baixo Gávea,Gávea Rio Imóveis,-22.975105,-43.226731,"['real_estate_agency', 'point_of_interest', 'establishment']",none,4.2,13
Baixo Gávea,Arte Flores Online - Flower Shop,-22.974662,-43.22672899999999,"['florist', 'general_contractor', 'point_of_interest', 'store', 'establishment']",none,4.5,34
Baixo Gávea,Hillel,-22.973016,-43.2262551,"['point_of_interest', 'establishment']",none,4.8,32
Baixo Gávea,Farm,-22.97522410000001,-43.2285266,"['shoe_store', 'point_of_interest', 'clothing_store', 'store', 'establishment']",none,4.5,40
Baixo Gávea,Gege Produções Artísticas Ltda,-22.9737991,-43.2277995,"['point_of_interest', 'establishment']",none,4.7,13
Baixo Gávea,Escola Nova,-22.9729764,-43.2278885,"['school', 'point_of_interest', 'establishment']",none,4.2,36
Baixo Gávea,Tese Investimentos,-22.9730868,-43.2264722,"['finance', 'point_of_interest', 'establishment']",none,none,none
Baixo Gávea,Zona Sul,-22.9750843,-43.2265434,"['grocery_or_supermarket', 'supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",none,4.2,2014
Baixo Gávea,Pilates Gávea,-22.97302290000001,-43.2262971,"['gym', 'health', 'point_of_interest', 'clothing_store', 'store', 'establishment']",none,4.5,4
Baixo Gávea,Gávea,-22.9760044,-43.2285147,"['sublocality_level_1', 'sublocality', 'political']",none,none,none
Baixo Gávea,Modelar Administração e Contabilidade,-22.9750236,-43.2267811,"['accounting', 'finance', 'point_of_interest', 'establishment']",none,5,1
Baixo Gávea,Centro Odontológico Zona Sul,-22.97515959999999,-43.2276149,"['dentist', 'health', 'point_of_interest', 'establishment']",none,3.9,9
Baixo Gávea,Casa da Gávea,-22.9741082,-43.2271339,"['point_of_interest', 'establishment']",none,4.3,36
Baixo Gávea,Kid's Place,-22.975024,-43.226781,"['point_of_interest', 'establishment']",none,3,1
Baixo Gávea,Laje,-22.973222,-43.226775,"['school', 'point_of_interest', 'establishment']",none,4.9,14
Baixo Gávea,arara,-22.9731321,-43.22643110000001,"['point_of_interest', 'establishment']",none,5,1
Baixo Gávea,Arbitral Finance,-22.9731144,-43.2265465,"['finance', 'point_of_interest', 'establishment']",none,none,none
Baixo Gávea,Secretaria do Estado da Defesa Civil,-22.9724469,-43.2260478,"['point_of_interest', 'establishment']",none,none,none
Baixo Gávea,Entrelinhas,-22.9730573,-43.226437,"['home_goods_store', 'point_of_interest', 'store', 'establishment']",none,5,6
Baixo Gávea,ESCOLA MUNICIPAL JÚLIO DE CASTILHOS,-22.9734929,-43.22730139999999,"['school', 'point_of_interest', 'establishment']",none,4.2,15
Baixo Gávea,Parador,-22.9728896,-43.2273264,"['point_of_interest', 'establishment']",none,none,none
Baixo Gávea,Studio Pipa,-22.9737299,-43.2274523,"['point_of_interest', 'establishment']",none,none,none
Baixo Gávea,Documennta Comunicação,-22.9737296,-43.2274528,"['point_of_interest', 'establishment']",none,4.8,4
Baixo Gávea,Angela Falcão,-22.9738076,-43.2275253,"['point_of_interest', 'establishment']",none,none,none
Baixo Gávea,ConstruSor,-22.9728897,-43.22703569999999,"['general_contractor', 'point_of_interest', 'establishment']",none,none,none
Baixo Gávea,Sushimar,-22.9739792,-43.22766600000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.4,301
Baixo Gávea,Galeria Movimento,-22.9742024,-43.2276244,"['art_gallery', 'point_of_interest', 'establishment']",none,4.7,21
Baixo Gávea,Varal Producoes Artisticas,-22.975024,-43.226781,"['point_of_interest', 'establishment']",none,5,3
Baixo Gávea,Leão Teixeira Jiu-Jitsu Escola Gávea,-22.9740078,-43.2279619,"['health', 'point_of_interest', 'establishment']",none,5,6
Baixo Gávea,Instituição Religiosa Perfect Liberty - Igreja Gávea,-22.9735919,-43.2279766,"['point_of_interest', 'establishment']",none,5,3
Baixo Gávea,Talho Café,-22.9749763,-43.2273084,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",3,4.6,848
Baixo Gávea,Citylar Materiais de Construção - Gávea,-22.9751919,-43.2268985,"['point_of_interest', 'store', 'establishment']",none,4.4,143
Baixo Gávea,Posto Ipiranga,-22.9752373,-43.2260242,"['gas_station', 'point_of_interest', 'establishment']",none,4.1,492
Baixo Gávea,GEPEMCI,-22.9750994,-43.2272854,"['museum', 'point_of_interest', 'establishment']",none,none,none
Baixo Gávea,Clara Nunes Theater,-22.9756664,-43.2283901,"['point_of_interest', 'establishment']",none,4.6,1254
Baixo Gávea,Espaço 2L,-22.9750192,-43.2274517,"['point_of_interest', 'establishment']",none,4,4
Baixo Gávea,Gryphus Editora,-22.9733688,-43.22839829999999,"['point_of_interest', 'establishment']",none,4.3,11
Baixo Gávea,Conveniência Am/Pm,-22.9753872,-43.22596850000001,"['convenience_store', 'food', 'point_of_interest', 'store', 'establishment']",none,3,2
Baixo Gávea,svadhyaya,-22.9733219,-43.2281916,"['point_of_interest', 'establishment']",none,none,none
Baixo Gávea,Jet Oil,-22.9753948,-43.2258843,"['gas_station', 'point_of_interest', 'establishment']",none,4.3,84
Baixo Gávea,Studio Stone House,-22.9733123,-43.2282224,"['point_of_interest', 'establishment']",none,4.6,10
Baixo Gávea,Igreja Universal,-22.9751927,-43.2275449,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",none,4.5,19
Baixo Gávea,Equitar Therapies,-22.9743567,-43.2246243,"['health', 'point_of_interest', 'establishment']",none,4.2,5
Baixo Gávea,Casas Pedro,-22.975169,-43.22763390000001,"['liquor_store', 'food', 'health', 'point_of_interest', 'store', 'establishment']",none,4.3,20
