baixo,latitude,longitude,arts,education,finance,food,health,nightlife,outdoors,religion,service,shop,state,transport
Arco do Teles,-22.90309605714285,-43.175990992857145,0.03571428571428571,0.07142857142857142,0.0,0.2857142857142857,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.07142857142857142,0.25,0.2857142857142857,0.03571428571428571,0.03571428571428571
Baixo Afonso Pena,-22.918337815151514,-43.21825017878789,0.0,0.06060606060606061,0.15151515151515152,0.18181818181818182,0.21212121212121213,0.06060606060606061,0.0,0.06060606060606061,0.3333333333333333,0.21212121212121213,0.030303030303030304,0.030303030303030304
Baixo Anil,-22.951818686046508,-43.33860185348837,0.0,0.09302325581395349,0.023255813953488372,0.11627906976744186,0.09302325581395349,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.20930232558139536,0.4418604651162791,0.13953488372093023,0.13953488372093023
Baixo Bangu,-22.87501235853658,-43.463241160975606,0.0,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.21951219512195122,0.0,0.0,0.07317073170731707,0.0975609756097561,0.6341463414634146,0.04878048780487805,0.04878048780487805
Baixo Barra da Tijuca,-23.01032819545455,-43.30474347272727,0.0,0.0,0.06818181818181818,0.13636363636363635,0.11363636363636363,0.09090909090909091,0.0,0.0,0.20454545454545456,0.5909090909090909,0.022727272727272728,0.022727272727272728
Baixo Botafogo,-22.950916335897436,-43.18405807179487,0.0,0.0,0.02564102564102564,0.15384615384615385,0.10256410256410256,0.07692307692307693,0.0,0.02564102564102564,0.4358974358974359,0.2564102564102564,0.07692307692307693,0.07692307692307693
Baixo Cachambi,-22.887484397826082,-43.27636113043479,0.0,0.043478260869565216,0.08695652173913043,0.1956521739130435,0.06521739130434782,0.08695652173913043,0.0,0.06521739130434782,0.10869565217391304,0.43478260869565216,0.06521739130434782,0.06521739130434782
Baixo Campo Grande,-22.90110318823529,-43.56673671470589,0.0,0.11764705882352941,0.029411764705882353,0.11764705882352941,0.20588235294117646,0.0,0.0,0.08823529411764706,0.17647058823529413,0.23529411764705882,0.058823529411764705,0.058823529411764705
Baixo Copacabana,-22.975924202,-43.18963789,0.0,0.02,0.04,0.18,0.14,0.0,0.0,0.0,0.5,0.22,0.0,0.0
Baixo Del Castilho,-22.878379500000005,-43.27210478399999,0.0,0.02,0.06,0.06,0.04,0.04,0.0,0.0,0.16,0.66,0.02,0.02
Baixo Flamengo,-22.928142576595747,-43.17707292765957,0.0,0.06382978723404255,0.02127659574468085,0.06382978723404255,0.0851063829787234,0.0,0.0,0.0,0.574468085106383,0.2765957446808511,0.0,0.0
Baixo Freguesia,-22.937535340000004,-43.33727190333333,0.0,0.03333333333333333,0.13333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.4,0.2,0.03333333333333333,0.03333333333333333
Baixo Grajaú,-22.923923922222226,-43.25589288055556,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.0,0.05555555555555555,0.1388888888888889,0.4166666666666667,0.0,0.0
